iter	RMSE
174	18027.83465
175	17981.49336
176	17928.77983
177	17888.97574
178	17853.7787
179	17801.76798
180	17767.75943
181	17716.4149
182	17700.44773
183	17650.45802
184	17597.58684
185	17543.99868
186	17504.243
187	17441.95855
188	17420.37885
189	17393.02822
190	17347.86165
191	17325.67188
192	17280.74465
193	17245.11533
194	17232.00787
195	17192.0368
196	17145.1546
197	17131.22458
198	17110.5434
199	17054.45753
200	17027.76647
201	17012.38866
202	16963.13387
203	16917.26415
204	16877.66869
205	16845.11174
206	16797.80015
207	16752.82884
208	16708.13898
209	16663.80473
210	16644.88218
211	16629.03202
212	16576.04855
213	16562.18744
214	16549.81654
215	16535.29415
216	16501.4002
217	16456.49951
218	16440.02066
219	16423.8164
220	16406.211
221	16375.94699
222	16325.73168
223	16318.35794
224	16283.00572
225	16253.5072
226	16207.71016
227	16169.31783
228	16131.97734
229	16097.848
230	16060.98254
231	16011.46744
232	15983.18347
233	15976.0196
234	15956.63049
235	15929.53662
236	15896.78531
237	15866.90813
238	15833.25758
239	15820.73417
240	15783.03747
241	15741.15708
242	15696.79516
243	15662.34735
244	15630.98484
245	15619.62389
246	15580.03555
247	15547.70759
248	15519.40888
249	15472.3763
250	15434.33624
251	15390.78725
252	15350.65679
253	15314.75045
254	15289.44129
255	15248.85127
256	15232.27687
257	15191.89812
258	15144.61789
259	15104.3658
260	15069.61307
261	15030.74288
262	15008.22634
263	14971.38329
264	14936.36657
265	14906.64511
266	14880.66945
267	14844.73035
268	14832.24979
269	14796.95485
270	14752.43386
271	14714.84144
272	14686.02098
273	14652.50385
274	14620.78325
275	14587.08519
276	14560.04413
277	14530.79864
278	14487.86902
279	14465.31517
280	14439.52956
281	14399.67031
282	14366.20883
283	14346.32722
284	14312.95641
285	14279.90253
286	14246.05728
287	14213.38882
288	14178.00636
289	14139.682
290	14098.052
291	14065.68629
292	14039.17193
293	14012.34656
294	13985.69177
295	13953.02664
296	13940.81601
297	13897.81333
298	13862.68499
299	13836.36131
300	13801.87914
301	13790.59602
302	13766.17733
303	13733.90807
304	13715.74046
305	13688.47374
306	13681.47915
307	13655.56882
308	13625.36414
309	13613.4488
310	13603.36731
311	13574.14892
312	13539.50527
313	13512.80384
314	13489.90137
315	13466.93479
316	13426.19415
317	13401.36494
318	13361.37682
319	13341.11385
320	13311.57611
321	13267.04216
322	13232.8206
323	13194.09773
324	13174.16713
325	13137.0931
326	13102.09988
327	13071.2106
328	13044.98305
329	13012.82477
330	12979.6897
331	12966.96392
332	12937.81979
333	12908.57357
334	12883.77986
335	12862.32942
336	12842.21466
337	12809.58167
338	12784.83896
339	12757.34113
340	12731.54855
341	12704.65591
342	12681.82949
343	12675.91266
344	12653.78444
345	12627.68421
346	12587.52043
347	12569.38403
348	12538.55677
349	12531.15218
350	12512.64302
351	12494.43797
352	12489.06902
353	12470.05814
354	12442.81295
355	12415.51511
356	12394.31031
357	12363.23421
358	12332.46796
359	12307.65045
360	12282.17609
361	12267.76099
362	12249.73731
363	12225.71041
364	12211.49164
365	12182.6779
366	12160.11608
367	12137.26032
368	12117.38788
369	12096.86475
370	12080.59771
371	12065.3658
372	12043.78502
373	12013.08154
374	11994.23477
375	11977.25902
376	11950.03867
377	11936.74915
378	11916.11811
379	11908.84721
380	11893.12432
381	11862.85365
382	11845.09422
383	11821.0296
384	11791.6882
385	11784.9868
386	11760.39433
387	11753.67849
388	11738.91995
389	11708.65398
390	11686.24075
391	11666.43681
392	11644.17348
393	11634.65856
394	11612.54077
395	11592.57742
396	11570.66121
397	11547.49415
398	11519.8925
399	11498.01897
400	11468.64487
401	11447.27732
402	11431.0101
403	11406.94598
404	11401.44961
405	11382.52693
406	11377.46603
407	11363.75273
408	11344.7391
409	11339.11024
410	11320.48542
411	11313.04541
412	11287.36564
413	11254.69835
414	11246.92218
415	11229.90731
416	11210.65672
417	11188.64911
418	11176.41702
419	11150.25923
420	11121.82937
421	11098.41154
422	11087.33783
423	11066.62248
424	11051.54504
425	11029.89074
426	11015.88041
427	10990.12518
428	10970.42656
429	10946.53533
430	10927.55876
431	10900.22076
432	10877.42623
433	10858.69861
434	10835.32817
435	10809.44785
436	10777.13764
437	10765.30568
438	10751.17532
439	10726.90354
440	10708.46589
441	10678.51375
442	10652.27039
443	10626.94805
444	10604.94264
445	10582.00773
446	10570.9098
447	10562.53076
448	10549.79035
449	10530.07735
450	10512.57781
451	10490.23638
452	10471.40776
453	10451.89224
454	10428.58906
455	10414.2476
456	10407.38225
457	10398.22351
458	10381.33996
459	10361.60683
460	10358.37286
461	10339.15614
462	10323.78668
463	10297.7318
464	10281.23157
465	10258.84488
466	10239.4335
467	10216.09268
468	10203.6547
469	10182.1832
470	10170.49234
471	10151.64696
472	10136.02545
473	10116.54124
474	10099.2597
475	10082.23087
476	10068.48521
477	10050.79802
478	10029.44799
479	10014.53827
480	10000.6284
481	9979.619274
482	9970.348552
483	9945.358863
484	9929.447198
485	9905.845272
486	9890.933958
487	9873.456657
488	9854.290771
489	9851.314251
490	9840.487159
491	9835.260525
492	9815.105415
493	9800.706236
494	9781.8074
495	9765.56386
496	9762.672234
497	9757.840202
498	9746.826236
499	9730.326982
500	9726.1628
501	9723.372714
502	9705.219814
503	9687.496835
504	9671.495759
505	9653.428169
506	9635.314437
507	9620.103221
508	9617.418811
509	9591.44988
510	9578.037356
511	9561.149532
512	9558.708603
513	9554.057846
514	9538.253118
515	9522.814545
516	9518.609039
517	9501.008121
518	9496.561823
519	9475.919348
520	9454.170214
521	9431.687015
522	9429.117433
523	9415.658667
524	9400.434916
525	9382.844017
526	9381.640314
527	9377.453281
528	9360.018763
529	9345.637957
530	9326.945009
531	9307.857408
532	9306.594922
533	9294.230416
534	9292.064862
535	9270.245311
536	9253.066147
537	9231.487754
538	9218.358507
539	9201.655764
540	9188.422812
541	9185.94356
542	9169.354234
543	9149.733903
544	9137.264112
545	9114.278255
546	9113.120223
547	9096.479027
548	9095.165507
549	9069.132858
550	9063.921394
551	9052.355231
552	9038.054295
553	9017.474843
554	9005.141375
555	8989.710402
556	8971.08028
557	8968.586823
558	8945.64499
559	8935.330724
560	8917.712901
561	8916.085131
562	8899.298212
563	8897.370029
564	8877.901559
565	8865.522299
566	8864.609968
567	8844.189008
568	8838.012406
569	8825.486692
570	8806.688833
571	8799.531462
572	8784.806841
573	8783.574094
574	8769.746325
575	8746.946842
576	8735.24257
577	8721.7441
578	8704.477486
579	8689.345742
580	8677.21223
581	8675.549328
582	8654.524848
583	8642.565604
584	8640.901739
585	8622.588281
586	8604.504522
587	8596.562342
588	8594.640696
589	8580.066991
590	8566.685704
591	8555.872984
592	8545.985224
593	8534.553766
594	8532.482829
595	8520.183073
596	8510.891863
597	8493.876264
598	8476.421761
599	8457.189614
600	8440.840519
601	8421.563412
602	8410.432043
603	8392.747033
604	8376.461203
605	8364.12357
606	8363.055024
607	8350.125833
608	8336.426269
609	8323.969463
610	8313.514658
611	8301.068306
612	8293.547325
613	8291.776255
614	8273.971477
615	8265.904933
616	8256.513099
617	8246.83659
618	8231.136279
619	8213.371813
620	8196.707577
621	8184.048468
622	8171.825825
623	8161.480362
624	8147.864555
625	8130.33433
626	8112.808614
627	8100.775574
628	8093.419671
629	8091.763231
630	8080.229975
631	8071.940258
632	8070.805741
633	8069.96138
634	8051.062767
635	8042.434423
636	8023.500445
637	8013.788968
638	8012.185465
639	8010.937632
640	7998.986434
641	7984.73608
642	7976.329748
643	7975.275722
644	7972.004511
645	7963.658236
646	7960.207148
647	7958.104835
648	7944.374267
649	7928.817557
650	7914.584278
651	7899.303126
652	7880.810228
653	7865.31803
654	7864.087443
655	7859.21099
656	7858.168161
657	7841.192589
658	7822.499501
659	7812.914579
660	7797.750342
661	7787.998702
662	7767.578497
663	7766.420659
664	7754.975507
665	7751.691893
666	7750.832117
667	7749.656298
668	7734.502665
669	7712.595313
670	7696.424464
671	7681.474813
672	7680.530009
673	7673.113256
674	7659.792619
675	7658.600563
676	7652.979052
677	7638.060152
678	7636.265165
679	7628.907391
680	7619.422178
681	7618.570276
682	7610.344643
683	7598.033635
684	7585.063706
685	7572.812226
686	7566.946578
687	7556.013997
688	7551.933253
689	7539.705283
690	7538.751357
691	7527.146198
692	7514.086818
693	7513.26908
694	7504.431824
695	7494.43823
696	7479.505153
697	7468.932593
698	7456.391657
699	7441.327271
700	7431.41321
701	7419.824791
702	7407.345186
703	7393.555109
704	7392.865281
705	7376.078694
706	7366.478206
707	7351.48556
708	7342.789688
709	7329.819291
710	7310.316775
711	7307.246546
712	7300.309005
713	7296.949885
714	7280.860201
715	7266.267961
716	7254.750867
717	7240.73374
718	7231.282394
719	7216.774501
720	7206.634283
721	7195.350414
722	7182.716531
723	7179.493985
724	7167.020069
725	7152.7541
726	7141.50577
727	7128.497647
728	7121.450769
729	7109.445702
730	7107.567541
731	7094.892728
732	7084.601756
733	7076.68526
734	7064.10828
735	7051.98833
736	7042.300887
737	7033.688689
738	7026.552513
739	7017.931872
740	7007.256147
741	7001.298781
742	6992.569501
743	6979.330106
744	6969.245248
745	6954.691788
746	6943.992109
747	6931.546215
748	6921.823203
749	6913.8004
750	6908.725591
751	6902.200395
752	6893.190373
753	6886.87461
754	6877.518968
755	6868.853016
756	6861.299212
757	6853.114462
758	6843.819141
759	6836.300631
760	6824.743589
761	6812.279577
762	6804.6539
763	6789.688179
764	6776.683921
765	6767.412641
766	6761.062652
767	6750.638298
768	6740.004699
769	6729.437101
770	6721.389915
771	6712.597747
772	6703.526976
773	6690.045159
774	6679.817172
775	6667.803768
776	6657.463085
777	6650.423507
778	6640.578378
779	6630.990844
780	6624.449073
781	6618.296139
782	6604.28447
783	6599.327142
784	6589.85428
785	6588.934657
786	6580.089495
787	6577.567113
788	6564.581102
789	6556.501057
790	6546.944462
791	6536.800948
792	6524.21843
793	6522.132306
794	6507.666946
795	6502.274032
796	6494.214875
797	6487.024
798	6474.830632
799	6466.019379
800	6459.354584
801	6450.103321
802	6441.057153
803	6432.197774
804	6431.463222
805	6423.684814
806	6413.374893
807	6412.515039
808	6406.578252
809	6397.782673
810	6391.005701
811	6382.760443
812	6378.704837
813	6371.963783
814	6362.723133
815	6347.345932
816	6336.160576
817	6326.761138
818	6324.237083
819	6316.350777
820	6306.51426
821	6300.793575
822	6288.78895
823	6279.825627
824	6271.705044
825	6260.864189
826	6254.050098
827	6245.015379
828	6234.792905
829	6227.912504
830	6218.404284
831	6210.342351
832	6202.542939
833	6201.558514
834	6196.834377
835	6188.034591
836	6179.430384
837	6172.862649
838	6165.131558
839	6154.554638
840	6145.899502
841	6132.964894
842	6120.890765
843	6115.028721
844	6103.77721
845	6096.941207
846	6095.99809
847	6087.800585
848	6079.463262
849	6066.75381
850	6056.036281
851	6050.144356
852	6047.285659
853	6038.966556
854	6033.422417
855	6022.920513
856	6017.627678
857	6006.721159
858	5998.946922
859	5991.913093
860	5990.105415
861	5986.604945
862	5979.033881
863	5967.168496
864	5958.766537
865	5953.680835
866	5948.774113
867	5939.588542
868	5931.672962
869	5927.679108
870	5923.601208
871	5917.531287
872	5907.944633
873	5902.22071
874	5895.932992
875	5884.258248
876	5877.774033
877	5874.464555
878	5864.433046
879	5854.31856
880	5842.635278
881	5835.920974
882	5835.386022
883	5823.309547
884	5814.265063
885	5808.321423
886	5796.145625
887	5788.717271
888	5782.860297
889	5773.504277
890	5766.645018
891	5758.607204
892	5757.580016
893	5750.141041
894	5738.74548
895	5723.084836
896	5711.815031
897	5706.876054
898	5698.981854
899	5690.08937
900	5677.365529
901	5673.083671
902	5665.386412
903	5659.276815
904	5654.442862
905	5648.816523
906	5643.132183
907	5636.089432
908	5626.141203
909	5618.259328
910	5611.350163
911	5608.401952
912	5603.939646
913	5588.818717
914	5582.966208
915	5575.815187
916	5569.404496
917	5562.793665
918	5558.9789
919	5553.041576
920	5547.521645
921	5543.205336
922	5535.482179
923	5526.55387
924	5517.3408
925	5513.643175
926	5504.326095
927	5497.643548
928	5488.945313
929	5484.620028
930	5479.697778
931	5475.513634
932	5467.107095
933	5458.976876
934	5451.298466
935	5444.704114
936	5435.823132
937	5425.611405
938	5420.19484
939	5415.962242
940	5408.32549
941	5401.612499
942	5395.16924
943	5387.676471
944	5377.503896
945	5371.057512
946	5362.249267
947	5350.798793
948	5350.154902
949	5341.714333
950	5339.326614
951	5333.225759
952	5330.020906
953	5329.431714
954	5321.355829
955	5313.492135
956	5311.248472
957	5305.472767
958	5296.532506
959	5290.431386
960	5281.514333
961	5275.314759
962	5264.961853
963	5256.560822
964	5250.857157
965	5247.284774
966	5241.939867
967	5235.479577
968	5227.270434
969	5222.022203
970	5213.659362
971	5200.780288
972	5198.540104
973	5189.52786
974	5184.158436
975	5180.427376
976	5178.40537
977	5169.98983
978	5169.37201
979	5162.865386
980	5158.559781
981	5153.113732
982	5148.835722
983	5143.213532
984	5139.366458
985	5132.194235
986	5124.29761
987	5121.399469
988	5115.389768
989	5108.336153
990	5100.245193
991	5091.033702
992	5083.753594
993	5076.337931
994	5067.210553
995	5061.437101
996	5058.138353
997	5052.887724
998	5049.017917
999	5044.20863
